                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                 0.7412,                0.48932,                0.78843,                0.98902,                      1,                  0.995,                0.83122,                0.72786,                0.42321,                0.75718,              0.0006338,              0.0006338,              0.0006338
                     71,                0.78111,                0.50053,                0.84252,                0.98898,                      1,                  0.995,                0.81489,                0.76697,                0.43271,                0.76702,               0.000614,               0.000614,               0.000614
                     72,                0.48493,                 0.3216,                0.56842,                0.98905,                      1,                  0.995,                0.81577,                0.83606,                 0.4369,                 0.7814,              0.0005942,              0.0005942,              0.0005942
                     73,                0.79673,                0.44695,                0.78023,                0.98905,                      1,                  0.995,                0.81577,                0.83606,                 0.4369,                 0.7814,              0.0005744,              0.0005744,              0.0005744
                     74,                0.63994,                0.39644,                0.83321,                0.98921,                      1,                  0.995,                0.78733,                0.81446,                 0.4161,                0.77873,              0.0005546,              0.0005546,              0.0005546
                     75,                 0.8342,                0.44661,                 0.8353,                0.98917,                      1,                  0.995,                0.82868,                0.81956,                0.43365,                0.77104,              0.0005348,              0.0005348,              0.0005348
                     76,                0.61316,                0.45402,                0.78979,                 0.9893,                      1,                  0.995,                0.80477,                0.84554,                0.45105,                0.77425,               0.000515,               0.000515,               0.000515
                     77,                0.68363,                0.42789,                0.81993,                 0.9893,                      1,                  0.995,                0.80477,                0.84554,                0.45105,                0.77425,              0.0004952,              0.0004952,              0.0004952
                     78,                0.47166,                0.51747,                0.56525,                0.98915,                      1,                  0.995,                0.83175,                 0.8307,                 0.4153,                0.77452,              0.0004754,              0.0004754,              0.0004754
                     79,                0.62454,                0.40436,                0.84639,                0.98871,                      1,                  0.995,                0.85188,                0.82097,                0.38266,                 0.7704,              0.0004556,              0.0004556,              0.0004556
                     80,                 0.7115,                0.46952,                0.86752,                 0.9886,                      1,                  0.995,                 0.8506,                0.78879,                0.40075,                0.77188,              0.0004358,              0.0004358,              0.0004358
                     81,                0.60479,                0.42914,                0.79527,                 0.9886,                      1,                  0.995,                 0.8506,                0.78879,                0.40075,                0.77188,               0.000416,               0.000416,               0.000416
                     82,                0.66922,                0.40877,                0.82851,                0.98824,                      1,                  0.995,                0.87636,                0.79227,                0.42574,                 0.7742,              0.0003962,              0.0003962,              0.0003962
                     83,                0.66016,                0.41929,                0.85827,                0.98826,                      1,                  0.995,                0.86331,                0.79404,                0.41421,                0.77757,              0.0003764,              0.0003764,              0.0003764
                     84,                0.97499,                0.50216,                0.85763,                0.98806,                      1,                  0.995,                0.83986,                0.79615,                0.42007,                0.77522,              0.0003566,              0.0003566,              0.0003566
                     85,                 0.7532,                0.44956,                0.81033,                0.98806,                      1,                  0.995,                0.83986,                0.79615,                0.42007,                0.77522,              0.0003368,              0.0003368,              0.0003368
                     86,                0.77159,                0.45822,                0.84837,                  0.988,                      1,                  0.995,                0.84028,                0.79866,                 0.3895,                 0.7745,               0.000317,               0.000317,               0.000317
                     87,                0.67312,                0.44749,                0.87188,                0.98817,                      1,                  0.995,                 0.8305,                0.77634,                0.38149,                0.77332,              0.0002972,              0.0002972,              0.0002972
                     88,                0.54796,                0.39526,                0.76945,                0.98834,                      1,                  0.995,                0.89014,                0.77105,                0.39759,                0.77375,              0.0002774,              0.0002774,              0.0002774
                     89,                0.66433,                 0.4256,                0.83498,                0.98834,                      1,                  0.995,                0.89014,                0.77105,                0.39759,                0.77375,              0.0002576,              0.0002576,              0.0002576
                     90,                0.59483,                0.44162,                0.85741,                0.98819,                      1,                  0.995,                0.79475,                 0.7541,                0.38674,                 0.7715,              0.0002378,              0.0002378,              0.0002378
                     91,                0.65694,                0.40818,                0.91027,                0.98827,                      1,                  0.995,                0.81463,                0.77892,                0.39684,                0.77798,               0.000218,               0.000218,               0.000218
                     92,                0.64965,                0.43457,                0.83032,                0.98842,                      1,                  0.995,                0.81463,                0.80734,                0.39934,                0.78192,              0.0001982,              0.0001982,              0.0001982
                     93,                 0.6004,                0.39058,                 0.7593,                0.98842,                      1,                  0.995,                0.81463,                0.80734,                0.39934,                0.78192,              0.0001784,              0.0001784,              0.0001784
                     94,                0.62813,                 0.3374,                0.83753,                 0.9885,                      1,                  0.995,                0.81463,                0.80268,                0.38506,                0.78107,              0.0001586,              0.0001586,              0.0001586
                     95,                0.51106,                0.33987,                0.79712,                0.98871,                      1,                  0.995,                0.77525,                0.81602,                0.37986,                0.78231,              0.0001388,              0.0001388,              0.0001388
                     96,                0.58369,                0.33661,                0.84238,                0.98873,                      1,                  0.995,                0.81525,                0.81587,                0.36638,                0.78242,               0.000119,               0.000119,               0.000119
                     97,                0.50244,                0.33054,                0.85286,                0.98873,                      1,                  0.995,                0.81525,                0.81587,                0.36638,                0.78242,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.54382,                0.33704,                0.75862,                0.98871,                      1,                  0.995,                0.81525,                0.81726,                0.36514,                0.78253,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.53131,                0.33176,                0.87112,                0.98883,                      1,                  0.995,                0.81525,                0.81298,                0.36249,                0.78699,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.67214,                0.36889,                0.83959,                0.98881,                      1,                  0.995,                0.81525,                 0.8138,                0.35507,                0.78512,               3.98e-05,               3.98e-05,               3.98e-05
